,Zone,Importation (KTonnes),Population en Milliers,Exportation (KTonnes),Production (KTonnes)
0,Afrique du Sud,1667.0,57009.756,63.0,514.0
1,Albanie,13.0,2884.169,0.0,38.0
2,Algérie,275.0,41389.189,0.0,2.0
3,Allemagne,1514.0,82658.409,646.0,842.0
4,Angola,42.0,29816.766,0.0,277.0
5,Antigua-et-Barbuda,0.0,95.426,0.0,7.0
6,Arabie saoudite,616.0,33101.179,10.0,722.0
7,Argentine,2161.0,43937.14,207.0,8.0
8,Arménie,11.0,2944.791,0.0,35.0
9,Australie,1269.0,24584.62,42.0,16.0
10,Autriche,148.0,8819.901,78.0,110.0
11,Azerbaïdjan,104.0,9845.32,0.0,27.0
12,Barbade,15.0,286.232,0.0,2.0
13,Bélarus,463.0,9450.231,152.0,21.0
14,Belgique,463.0,11419.748,656.0,338.0
15,Belize,20.0,375.769,0.0,0.0
16,Bénin,18.0,11175.198,0.0,123.0
17,Bolivie (État plurinational de),533.0,11192.855,1.0,1.0
18,Bosnie-Herzégovine,61.0,3351.525,8.0,10.0
19,Botswana,5.0,2205.08,0.0,3.0
20,Brésil,14201.0,207833.823,4223.0,3.0
21,Bulgarie,107.0,7102.444,45.0,108.0
22,Cameroun,81.0,24566.073,0.0,0.0
23,Canada,1417.0,36732.095,163.0,182.0
24,Chili,712.0,18470.439,115.0,155.0
25,Chine - RAS de Hong-Kong,24.0,7306.322,663.0,907.0
26,Chine - RAS de Macao,3.0,622.585,0.0,23.0
27,"Chine, continentale",18236.0,1421021.791,576.0,452.0
28,"Chine, Taiwan Province de",652.0,23674.546,8.0,161.0
29,Chypre,25.0,1179.678,1.0,14.0
30,Colombie,1564.0,48909.839,2.0,78.0
31,Congo,7.0,5110.695,0.0,104.0
32,Costa Rica,133.0,4949.954,3.0,17.0
33,Côte d'Ivoire,58.0,24437.47,0.0,7.0
34,Croatie,61.0,4182.857,17.0,24.0
35,Danemark,173.0,5732.274,139.0,133.0
36,Dominique,0.0,71.458,0.0,4.0
37,Égypte,1118.0,96442.591,1.0,110.0
38,El Salvador,136.0,6388.126,2.0,16.0
39,Émirats arabes unis,48.0,9487.203,94.0,433.0
40,Équateur,340.0,16785.361,0.0,0.0
41,Espagne,1515.0,46647.428,212.0,205.0
42,Estonie,20.0,1319.39,11.0,21.0
43,Eswatini,6.0,1124.805,0.0,2.0
44,États-Unis d'Amérique,21914.0,325084.756,3692.0,123.0
45,Fédération de Russie,4444.0,145530.082,115.0,226.0
46,Fidji,23.0,877.459,0.0,3.0
47,Finlande,129.0,5511.371,12.0,16.0
48,France,1750.0,64842.509,501.0,506.0
49,Gabon,4.0,2064.823,0.0,76.0
50,Géorgie,22.0,4008.716,5.0,51.0
51,Ghana,60.0,29121.465,0.0,151.0
52,Grèce,246.0,10569.45,29.0,79.0
53,Guatemala,235.0,16914.97,7.0,129.0
54,Guyana,31.0,775.222,0.0,0.0
55,Honduras,193.0,9429.013,1.0,12.0
56,Hongrie,493.0,9729.823,210.0,58.0
57,Îles Salomon,0.0,636.039,0.0,6.0
58,Inde,3545.0,1338676.785,4.0,0.0
59,Indonésie,2301.0,264650.963,0.0,1.0
60,Iran (République islamique d'),2174.0,80673.883,45.0,6.0
61,Iraq,96.0,37552.781,0.0,470.0
62,Irlande,110.0,4753.279,93.0,99.0
63,Islande,10.0,334.393,0.0,2.0
64,Israël,629.0,8243.848,3.0,0.0
65,Italie,1315.0,60673.701,183.0,97.0
66,Jamaïque,128.0,2920.848,1.0,31.0
67,Japon,2215.0,127502.725,10.0,1069.0
68,Jordanie,210.0,9785.843,10.0,64.0
69,Kazakhstan,171.0,18080.019,6.0,174.0
70,Kenya,35.0,50221.142,0.0,0.0
71,Kirghizistan,7.0,6189.733,0.0,25.0
72,Koweït,56.0,4056.099,4.0,137.0
73,Lesotho,2.0,2091.534,0.0,15.0
74,Lettonie,33.0,1951.097,20.0,43.0
75,Liban,64.0,6819.373,4.0,13.0
76,Libéria,15.0,4702.226,0.0,48.0
77,Lituanie,118.0,2845.414,68.0,44.0
78,Luxembourg,0.0,591.91,1.0,11.0
79,Macédoine du Nord,2.0,2081.996,1.0,40.0
80,Malaisie,1724.0,31104.646,44.0,68.0
81,Malte,4.0,437.933,0.0,9.0
82,Maroc,762.0,35581.255,1.0,3.0
83,Maurice,48.0,1264.499,0.0,2.0
84,Mexique,3249.0,124777.324,9.0,972.0
85,Monténégro,4.0,627.563,0.0,8.0
86,Myanmar,1662.0,53382.523,0.0,3.0
87,Namibie,11.0,2402.633,12.0,29.0
88,Nicaragua,143.0,6384.846,0.0,6.0
89,Niger,19.0,21602.382,0.0,3.0
90,Nigéria,201.0,190873.244,0.0,0.0
91,Norvège,101.0,5296.326,0.0,2.0
92,Nouvelle-Zélande,223.0,4702.034,23.0,1.0
93,Oman,7.0,4665.928,16.0,126.0
94,Ouganda,65.0,41166.588,0.0,0.0
95,Pakistan,1281.0,207906.209,4.0,2.0
96,Panama,198.0,4106.769,0.0,20.0
97,Paraguay,45.0,6867.061,4.0,1.0
98,Pays-Bas,1100.0,17021.347,1418.0,608.0
99,Pérou,1465.0,31444.298,1.0,60.0
100,Philippines,1272.0,105172.925,2.0,249.0
101,Pologne,2351.0,37953.18,1025.0,55.0
102,Polynésie française,1.0,276.102,0.0,15.0
103,Portugal,361.0,10288.527,44.0,82.0
104,République de Corée,838.0,51096.415,6.0,137.0
105,République de Moldova,54.0,4059.684,0.0,16.0
106,République dominicaine,339.0,10513.104,6.0,42.0
107,République populaire démocratique de Corée,43.0,25429.825,0.0,0.0
108,Roumanie,392.0,19653.969,69.0,146.0
109,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,1814.0,66727.461,359.0,779.0
110,Rwanda,19.0,11980.961,0.0,0.0
111,Saint-Kitts-et-Nevis,0.0,52.045,0.0,4.0
112,Samoa,0.0,195.352,0.0,17.0
113,Sénégal,77.0,15419.355,0.0,0.0
114,Serbie,85.0,8829.628,7.0,12.0
115,Sierra Leone,17.0,7488.423,0.0,14.0
116,Slovaquie,71.0,5447.9,35.0,63.0
117,Slovénie,72.0,2076.394,29.0,20.0
118,Sri Lanka,192.0,21128.032,2.0,0.0
119,Suède,157.0,9904.896,23.0,84.0
120,Suisse,91.0,8455.804,4.0,51.0
121,Suriname,10.0,570.496,5.0,18.0
122,Tchad,6.0,15016.753,0.0,1.0
123,Tchéquie,163.0,10641.034,27.0,116.0
124,Thaïlande,1676.0,69209.81,796.0,2.0
125,Togo,40.0,7698.474,0.0,16.0
126,Trinité-et-Tobago,61.0,1384.059,0.0,23.0
127,Tunisie,213.0,11433.443,4.0,0.0
128,Turquie,2192.0,81116.45,429.0,3.0
129,Ukraine,1211.0,44487.709,273.0,121.0
130,Uruguay,33.0,3436.641,3.0,3.0
131,Venezuela (République bolivarienne du),600.0,29402.484,0.0,25.0
132,Viet Nam,918.0,94600.648,1.0,291.0
133,Yémen,168.0,27834.819,0.0,78.0
134,Zambie,49.0,16853.599,1.0,12.0
